	had_prior_chemotherapy	history_drinking	age_decades:history_smoking	bmi_scaled	is_male
ARID1A	0.5361581719867504	0.6378153654603756	0.12598249142704496	-0.6549505746759213	0.7520417586648336
CDKN1A	0.38834456690305796	0.44994634557186114	0.11986923457065848	-0.3330628047398997	1.0631058367700512
CREBBP	0.6583619408535161	0.17682758644036856	0.07504988633964427	-0.36896363192991655	-0.1683536896917053
EP300	0.5872433950268825	0.07514093187115549	0.08626030072682844	-0.0848187268717382	-0.020551238403603227
FOXQ1	0.07501760616989533	-0.10316360247387979	0.2095785600094471	-0.6780628999275524	0.8288675463449303
KDM6A	-0.37105519595218034	0.1900929543375717	0.1181169405676035	0.10002910197697597	0.5645875124776718
KMT2C	0.2764826376566608	0.02327995211593809	0.03537542369918859	0.0044615302719729025	0.060497250900964875
KMT2D	0.26090179754222187	-0.1867026924099212	0.13582443647620632	-0.8533780137268208	-0.10118216743664435
NOTCH2	0.4949050070222664	0.18059503051882897	0.06935984215661008	-0.4399762337559703	-0.008966949477689883
RB1	0.2447371937270176	0.009273893985362493	0.025439677064093457	-0.10279420236014795	-0.01791187297666443
RBM10	0.20523980787034482	1.8170637438516373	0.41776775795943805	-3.1049237466134554	2.9127631641269414
STAG2	-0.37085353607015775	-0.17679477295599927	0.19351488539792414	-1.021431918319254	0.9366937918089029
TERTpromoter	1.3834427050486529	-33.32622409428809	6.836059291353755	-1.6087376778239644	-5.9518985170824354
TP53	0.7725896275037764	-0.019202854649869094	0.10720356755290888	-0.2634855328765885	0.009579695966503122
total	0.33079492420449347	0.08199224997835829	0.10875769620754752	-0.4653019843353762	0.14517242484347645
