	had_prior_chemotherapy	history_drinking	age_decades:history_smoking	bmi_scaled	is_male
ARID1A	1.203062535856183	1.3500720859711308	0.21754241945046485	0.7255191479585851	1.3270387876252403
CDKN1A	1.2080016651583318	1.2682435673711887	0.22893526249356932	1.3556175260958048	1.7452666855438266
CREBBP	1.0458365983158437	0.6435893645545196	0.13200672011085607	0.5064529817875876	0.2190378553423001
EP300	0.9713399475223694	0.5344249835135771	0.14037521028246688	0.7722004661387875	0.3588807398157631
FOXQ1	1.077948181334823	0.8008311813992207	0.3372831499711201	1.3354897516246165	1.6966614276842513
KDM6A	0.7677180502580314	1.3229476574849182	0.2760477325324915	2.421486971779661	1.577581922651617
KMT2C	0.4528803667939122	0.2355827316924296	0.06084848168859376	0.4002940013991885	0.2350412759512494
KMT2D	0.939096853020539	0.5189577528435311	0.22222121940783768	0.5199121300676757	0.515681723054237
NOTCH2	0.7963659220806307	0.538763263528344	0.11262168236618494	0.22823590383419112	0.29268350758850387
RB1	0.36707146226915455	0.16461215853498049	0.04403998274305528	0.18539753138074078	0.11138746169492451
RBM10	2.4022198825706447	3.9457192762400926	0.7050765161156916	1.2564870348185075	4.684223852588891
STAG2	0.5923825903246425	0.8893116196044737	0.32012363980019065	0.9315670129146865	1.7666315615091028
TERTpromoter	38.056704412659805	5.526177509337842	11.64864429761789	72.28585791926706	26.936431902350435
TP53	1.441384259413474	0.7171474588985143	0.20269837396950044	1.173135534112959	0.6473823950294477
total	0.764054755834862	0.5574220591974106	0.16206494375219024	0.42649740798545943	0.5420273846140304
