	is_male	had_prior_chemotherapy	history_smoking	bmi_scaled	age_decades
ARID1A	0.10737198057167088	0.49174757308084643	0.26857867596155166	0.26364772520147445	0.05858343293683383
CDKN1A	0.3496524406417847	0.4814413313226249	0.4430398657871903	0.5919912396335478	0.07082306799452077
CREBBP	0.11093430777101261	0.42153597833298906	0.24561673413841315	0.23129453716319168	0.048482578063106935
EP300	0.1844151150672584	0.3573719887057791	0.2009651943623907	0.19666698579318645	0.046577012127005386
FOXQ1	0.40561943249693405		0.3828282418164872	0.7408329702491161	0.17621835647517423
KDM6A	0.14029700175477847	0.23048453709650568	0.13243064207255534	0.14750566880005517	0.05136208367190152
KMT2C	0.06009963633562497	0.2672052311793267	0.14382613050045384	0.07853388706463091	0.04582420786967049
KMT2D	0.09332576126130468	0.4527376673162923	0.29073985031201843	0.27710744582303404	0.07015631844976317
NOTCH2	0.11054353174699955	0.3694414389480911	0.17948006812701053	0.20163411940188034	0.045946384843969346
RB1	0.10672181640792745	0.3333165078472278	0.15945050051982973	0.19964051969471175	0.040149397788109734
RBM10	0.07684462521027688	0.5599005621780554	0.32542493307796105	0.48365774613482315	0.09593644700781712
STAG2	0.018422531846413875	0.27275108471358145	0.24951225964223706	0.23337270621252562	0.08687717397683548
TERTpromoter	0.5830163560770308		0.743912845756802	1.18650724375587	0.19505282946650587
TP53	0.15390098603218788	0.4763086316159137	0.21391938356591844	0.3973735081363513	0.04476706183260602
total	0.08384328535558484	0.3651168501002989	0.20555322172890728	0.22554436030532732	0.055415740972944244
