	had_prior_chemotherapy	history_drinking	history_smoking	bmi_scaled	is_male	age_decades
ARID1A	1.203062535856183	1.3500720859711308	1.2265067649735175	0.7255191479585851	1.3270387876252403	0.24606378618340088
CDKN1A	1.2080016651583318	1.2682435673711887	1.368506653088165	1.3556175260958048	1.7452666855438266	0.3343364008240458
CREBBP	1.0458365983158437	0.6435893645545196	0.7826545896865897	0.5064529817875876	0.2190378553423001	0.17675234633332773
EP300	0.9713399475223694	0.5344249835135771	0.8302904366217316	0.7722004661387875	0.3588807398157631	0.1836973977371973
FOXQ1	1.077948181334823	0.8008311813992207	2.023073375335931	1.3354897516246165	1.6966614276842513	0.35691106502498793
KDM6A	0.7677180502580314	1.3229476574849182	1.6383941881869277	2.421486971779661	1.577581922651617	0.4888078796796438
KMT2C	0.4528803667939122	0.2355827316924296	0.35476571103971954	0.4002940013991885	0.2350412759512494	0.08143920371277151
KMT2D	0.939096853020539	0.5189577528435311	1.1289373926377881	0.5199121300676757	0.515681723054237	0.3120761846568342
NOTCH2	0.7963659220806307	0.538763263528344	0.648076405371133	0.22823590383419112	0.29268350758850387	0.14843278622057055
RB1	0.36707146226915455	0.16461215853498049	0.27588447579582953	0.18539753138074078	0.11138746169492451	0.05640930617866887
RBM10	2.4022198825706447	3.9457192762400926	3.9599734402320785	1.2564870348185075	4.684223852588891	0.7639818140754636
STAG2	0.5923825903246425	0.8893116196044737	1.918559115496691	0.9315670129146865	1.7666315615091028	0.33431044352191924
TERTpromoter	38.056704412659805	5.526177509337842	70.18028903312633	72.28585791926706	26.936431902350435	7.543149379648211
TP53	1.441384259413474	0.7171474588985143	1.1372113250210614	1.173135534112959	0.6473823950294477	0.25956776708761226
total	0.764054755834862	0.5574220591974106	0.8837998772846968	0.42649740798545943	0.5420273846140304	0.23268905963732192
