Gene	Total mutations	SNVs	Missense	Nonsense	Splicing	Synonymous	Indel	Indel frameshift	Indel inframe	DNA sites (CDS + splicing)	Mutated DNA sites	Ratio mutated DNA sites	Non mutated DNA sites	Ratio non mutated DNA sites	Mutated DNA sites (Mut == 1)	Ratio mutated DNA sites (Mut == 1)	Mutated DNA sites (Mut == 2)	Ratio mutated DNA sites (Mut == 2)	Mutated DNA sites (Mut > 2)	Ratio mutated DNA sites (Mut > 2)	Protein positions (Res + stop codon)	Mutated protein positions	Ratio mutated protein positions	Non mutated protein positions	Ratio non mutated protein positions	Mutated protein positions (Mut == 1)	Ratio mutated protein positions (Mut == 1)	Mutated protein positions (Mut == 2)	Ratio mutated protein positions (Mut == 2)	Mutated protein positions (Mut > 2)	Ratio mutated protein positions (Mut > 2)	Max number mutated DNA site	Max number mutated protein position
ARID1A	245	245	72	92	12	13	56	53	3	6188	188	0.030381383322559793	6000	0.9696186166774402	148	0.023917259211376857	27	0.004363283775048481	13	0.0021008403361344537	1907	130	0.0681699003670687	1777	0.9318300996329313	96	0.050340849501835344	22	0.011536444677503933	12	0.006292606187729418	4	4
CDKN1A	81	81	11	12	2	1	55	53	2	540	55	0.10185185185185185	485	0.8981481481481481	39	0.07222222222222222	10	0.018518518518518517	6	0.011111111111111112	165	14	0.08484848484848485	151	0.9151515151515152	9	0.05454545454545454	3	0.01818181818181818	2	0.012121212121212121	6	6
CREBBP	118	118	52	37	8	10	11	9	2	8053	95	0.011796845895939401	7958	0.9882031541040606	75	0.009313299391531107	18	0.0022351918539674654	2	0.0002483546504408295	2435	75	0.030800821355236138	2360	0.9691991786447639	56	0.02299794661190965	16	0.006570841889117043	3	0.0012320328542094457	4	5
EP300	130	130	73	29	2	12	14	11	3	7995	113	0.014133833646028769	7882	0.9858661663539713	100	0.012507817385866166	9	0.001125703564727955	4	0.0005003126954346467	2415	96	0.03975155279503106	2319	0.9602484472049689	83	0.03436853002070393	8	0.0033126293995859213	5	0.002070393374741201	3	3
FGFR3	136	136	128	1	1	4	2	0	2	1112	20	0.017985611510791366	1092	0.9820143884892086	12	0.01079136690647482	1	0.0008992805755395684	7	0.006294964028776978	313	18	0.05750798722044728	295	0.9424920127795527	10	0.03194888178913738	1	0.003194888178913738	7	0.022364217252396165	59	59
FOXQ1	32	32	8	2	0	6	16	14	2	1100	25	0.022727272727272728	1075	0.9772727272727273	21	0.019090909090909092	3	0.0027272727272727275	1	0.0009090909090909091	369	14	0.037940379403794036	355	0.962059620596206	12	0.032520325203252036	2	0.005420054200542005	0	0.0	5	2
KDM6A	256	256	43	102	32	13	66	65	1	5086	187	0.03676759732599292	4899	0.9632324026740071	151	0.029689343295320487	24	0.0047188360204482895	12	0.0023594180102241447	1454	98	0.06740027510316368	1356	0.9325997248968363	63	0.04332874828060523	24	0.016506189821182942	11	0.007565337001375516	19	19
KMT2C	67	67	40	12	2	4	9	9	0	4507	61	0.013534501885955182	4446	0.9864654981140448	55	0.012203239405369425	6	0.0013312624805857556	0	0.0	1413	50	0.035385704175513094	1363	0.9646142958244869	44	0.03113941967445152	6	0.004246284501061571	0	0.0	2	2
KMT2D	302	302	88	100	17	26	71	67	4	17886	274	0.015319244101531924	17612	0.984680755898468	249	0.01392150285139215	22	0.0012300123001230013	3	0.0001677289500167729	5520	184	0.03333333333333333	5336	0.9666666666666667	156	0.02826086956521739	25	0.004528985507246377	3	0.0005434782608695652	3	3
NOTCH2	25	25	22	1	0	2	0	0	0	7226	22	0.003044561306393579	7204	0.9969554386936064	19	0.002629393855521727	3	0.00041516745087185166	0	0.0	2171	22	0.010133578995854445	2149	0.9898664210041456	19	0.008751727314601566	3	0.0013818516812528789	0	0.0	2	2
PIK3CA	17	17	17	0	0	0	0	0	0	288	6	0.020833333333333332	282	0.9791666666666666	4	0.013888888888888888	1	0.003472222222222222	1	0.003472222222222222	91	6	0.06593406593406594	85	0.9340659340659341	4	0.04395604395604396	1	0.01098901098901099	1	0.01098901098901099	11	11
RB1	163	163	19	67	38	3	36	34	2	3415	115	0.03367496339677892	3300	0.9663250366032211	85	0.024890190336749635	19	0.005563689604685213	11	0.00322108345534407	929	60	0.06458557588805167	869	0.9354144241119483	40	0.04305705059203445	13	0.013993541442411194	7	0.007534983853606028	8	5
RBM10	42	42	13	12	7	4	6	6	0	3363	38	0.011299435028248588	3325	0.9887005649717514	34	0.010110020814748736	4	0.0011894142134998512	0	0.0	931	26	0.027926960257787327	905	0.9720730397422127	23	0.024704618689581095	3	0.00322234156820623	0	0.0	2	2
STAG2	109	109	27	38	7	10	27	25	2	4541	88	0.019378991411583352	4453	0.9806210085884166	78	0.017176833296630698	6	0.0013212948689715921	4	0.0008808632459810614	1259	55	0.043685464654487687	1204	0.9563145353455124	44	0.03494837172359015	6	0.004765687053216839	5	0.003971405877680699	8	8
TERT	0	0	0	0	0	0	0	0	0	118	0	0.0	118	1.0	0	0.0	0	0.0	0	0.0	40	0	0.0	40	1.0	0	0.0	0	0.0	0	0.0	0	0
TP53	467	467	308	69	31	11	48	45	3	1427	195	0.13665031534688157	1232	0.8633496846531185	111	0.07778556412053259	39	0.027330063069376315	45	0.03153468815697267	394	115	0.2918781725888325	279	0.7081218274111676	50	0.12690355329949238	24	0.06091370558375635	41	0.10406091370558376	32	43
