	had_prior_chemotherapy	is_male	age_decades:history_smoking	bmi_scaled
ARID1A	0.19519151813239008	0.19519151813239008	0.19519151813239008	0.19519151813239008
CDKN1A	0.2037529473754075	0.2037529473754075	0.2037529473754075	0.2037529473754075
CREBBP	0.15388048403716173	0.15388048403716173	0.15388048403716173	0.15388048403716173
EP300	0.1664476988482789	0.1664476988482789	0.1664476988482789	0.1664476988482789
KDM6A	0.19147249025031426	0.19147249025031426	0.19147249025031426	0.19147249025031426
KMT2C	0.18192837744407117	0.18192837744407117	0.18192837744407117	0.18192837744407117
KMT2D	0.22738640120487488	0.22738640120487488	0.22738640120487488	0.22738640120487488
NOTCH2	0.10059861288435937	0.10059861288435937	0.10059861288435937	0.10059861288435937
RBM10	0.3284653311441734	0.3284653311441734	0.3284653311441734	0.3284653311441734
STAG2	0.34416325865333824	0.34416325865333824	0.34416325865333824	0.34416325865333824
TP53	0.12139326262180045	0.12139326262180045	0.12139326262180045	0.12139326262180045
total	0.21506101417211362	0.21506101417211362	0.21506101417211362	0.21506101417211362
